UserID,Age,Gender,EmploymentStatus,Location
U100098,18.0,Male,Unemployed,Nicaragua
U100099,61.0,Male,Student,Bhutan
U100100,25.0,Female,Freelancer,Greece
U100101,41.0,Non-binary,Part-time,Myanmar
U100102,28.0,Prefer not to say,Part-time,Lithuania
U100103,34.0,Non-binary,Student,Thailand
U100104,25.0,Female,Unemployed,Yemen
U100105,52.0,Female,Unemployed,United States of America
U100106,52.0,Non-binary,Freelancer,Mozambique
U100107,50.0,Non-binary,Student,Vietnam
U100108,22.0,Female,Part-time,Lesotho
U100109,59.0,Female,Freelancer,New Caledonia
U100110,56.0,Prefer not to say,Freelancer,Gambia
U100111,58.0,Male,Full-time,Angola
U100112,45.0,Male,Student,French Guiana
U100113,24.0,Prefer not to say,Freelancer,Australia
U100114,26.0,Non-binary,Part-time,France
U100115,25.0,Female,Full-time,Pitcairn Islands
U100116,29.0,Non-binary,Part-time,Croatia
U100117,51.0,Male,Unemployed,Equatorial Guinea
U100118,50.0,Male,Full-time,Isle of Man
U100119,40.0,Non-binary,Full-time,Monaco
U100120,41.0,Male,Freelancer,Saint Vincent and the Grenadines
U100121,54.0,Female,Unemployed,Brunei Darussalam
U100122,52.0,Prefer not to say,Freelancer,Dominica
U100123,61.0,Non-binary,Student,Guyana
U100124,57.0,Female,Part-time,Romania
U100125,39.0,Female,Part-time,Belize
U100126,44.0,Male,Freelancer,United States Virgin Islands
U100127,52.0,Female,Part-time,Poland
U100128,18.0,Non-binary,Part-time,Peru
U100129,52.0,Female,Student,Oman
U100130,54.0,Prefer not to say,Unemployed,Vanuatu
U100131,64.0,Female,Full-time,Guinea
U100132,31.0,Female,Freelancer,Maldives
U100133,20.0,Prefer not to say,Freelancer,Puerto Rico
U100134,18.0,Female,Student,Guernsey
U100135,22.0,Female,Student,Andorra
U100136,43.0,Male,Full-time,Monaco
U100137,31.0,Non-binary,Unemployed,Mauritania
U100138,56.0,Male,Freelancer,New Caledonia
U100139,44.0,Non-binary,Student,Bahamas
U100140,26.0,Prefer not to say,Freelancer,Bermuda
U100141,32.0,Prefer not to say,Part-time,Mongolia
U100142,32.0,Prefer not to say,Freelancer,Estonia
U100143,43.0,Non-binary,Unemployed,Syrian Arab Republic
U100144,59.0,Non-binary,Unemployed,Suriname
U100145,30.0,Non-binary,Freelancer,Croatia
U100146,49.0,Prefer not to say,Part-time,Dominica
U100147,56.0,Non-binary,Unemployed,Guam
U100148,49.0,Female,Student,Israel
U100149,21.0,Male,Freelancer,Vietnam
U100150,47.0,Prefer not to say,Part-time,Svalbard & Jan Mayen Islands
U100151,54.0,Male,Student,United States Minor Outlying Islands
U100152,40.0,Female,Freelancer,Cameroon
U100153,56.0,Non-binary,Part-time,Svalbard & Jan Mayen Islands
U100154,62.0,Male,Student,Sierra Leone
U100155,32.0,Female,Unemployed,Bahrain
U100156,60.0,Female,Freelancer,Bouvet Island (Bouvetoya)
U100157,46.0,Male,Freelancer,Nauru
U100158,53.0,Prefer not to say,Unemployed,Macao
U100159,30.0,Male,Full-time,India
U100160,49.0,Prefer not to say,Student,United Kingdom
U100161,24.0,Non-binary,Unemployed,Senegal
U100162,39.0,Prefer not to say,Freelancer,Wallis and Futuna
U100163,45.0,Non-binary,Student,Northern Mariana Islands
U100164,19.0,Male,Student,Luxembourg
U100165,59.0,Non-binary,Full-time,Taiwan
U100166,62.0,Female,Freelancer,Georgia
U100167,23.0,Non-binary,Part-time,Mayotte
U100168,45.0,Prefer not to say,Full-time,United States Virgin Islands
U100169,45.0,Prefer not to say,Full-time,Timor-Leste
U100170,61.0,Prefer not to say,Part-time,Namibia
U100171,61.0,Non-binary,Part-time,Palestinian Territory
U100172,37.0,Prefer not to say,Full-time,Lithuania
U100173,47.0,Prefer not to say,Student,Equatorial Guinea
U100174,28.0,Female,Unemployed,Switzerland
U100175,45.0,Non-binary,Unemployed,Jersey
U100176,42.0,Female,Full-time,Indonesia
U100177,56.0,Prefer not to say,Student,Papua New Guinea
U100178,50.0,Prefer not to say,Part-time,Denmark
U100179,18.0,Prefer not to say,Full-time,French Guiana
U100180,44.0,Non-binary,Freelancer,Nigeria
U100181,30.0,Male,Student,Guatemala
U100182,58.0,Prefer not to say,Freelancer,Guyana
U100183,20.0,Prefer not to say,Freelancer,Philippines
U100184,56.0,Prefer not to say,Full-time,Gabon
U100185,23.0,Prefer not to say,Student,Bolivia
U100186,25.0,Non-binary,Freelancer,Romania
U100187,44.0,Male,Student,Egypt
U100188,26.0,Male,Unemployed,Bosnia and Herzegovina
U100189,54.0,Male,Freelancer,Serbia
U100190,50.0,Prefer not to say,Freelancer,Holy See (Vatican City State)
U100191,59.0,Prefer not to say,Student,Colombia
U100192,61.0,Male,Unemployed,Tunisia
U100193,41.0,Male,Freelancer,Mauritius
U100194,32.0,Prefer not to say,Full-time,Yemen
U100195,49.0,Prefer not to say,Student,Saint Pierre and Miquelon
U100196,49.0,Female,Student,Northern Mariana Islands
U100197,41.0,Female,Freelancer,Malaysia
U100198,58.0,Female,Unemployed,Belize
U100199,29.0,Male,Freelancer,Western Sahara
U100200,56.0,Non-binary,Part-time,Benin
U100201,19.0,Prefer not to say,Freelancer,United Arab Emirates
U100202,20.0,Female,Part-time,Seychelles
U100203,54.0,Non-binary,Full-time,Afghanistan
U100204,34.0,Prefer not to say,Student,Sri Lanka
U100205,19.0,Non-binary,Student,Papua New Guinea
U100206,19.0,Male,Unemployed,Uganda
U100207,45.0,Male,Freelancer,Kyrgyz Republic
U100208,40.0,Male,Full-time,Christmas Island
U100209,54.0,Female,Part-time,British Indian Ocean Territory (Chagos Archipelago)
U100210,49.0,Prefer not to say,Unemployed,Tokelau
U100211,50.0,Male,Full-time,Qatar
U100212,18.0,Female,Full-time,Equatorial Guinea
U100213,36.0,Female,Part-time,Slovakia (Slovak Republic)
U100214,19.0,Female,Part-time,Bahrain
U100215,61.0,Female,Student,Bulgaria
U100216,43.0,Male,Freelancer,Burundi
U100217,49.0,Female,Unemployed,Serbia
U100218,23.0,Male,Freelancer,Seychelles
U100219,49.0,Male,Unemployed,Qatar
U100220,21.0,Female,Full-time,Netherlands Antilles
U100221,28.0,Male,Part-time,Barbados
U100222,34.0,Prefer not to say,Part-time,Russian Federation
U100223,55.0,Prefer not to say,Full-time,Singapore
U100224,41.0,Non-binary,Full-time,Qatar
U100225,22.0,Prefer not to say,Unemployed,Kiribati
U100226,51.0,Male,Full-time,Isle of Man
U100227,23.0,Male,Unemployed,Somalia
U100228,39.0,Prefer not to say,Freelancer,Haiti
U100229,28.0,Female,Part-time,San Marino
U100230,33.0,Female,Part-time,Cape Verde
U100231,50.0,Male,Part-time,Niue
U100232,26.0,Female,Freelancer,Moldova
U100233,23.0,Non-binary,Freelancer,Bahrain
U100234,33.0,Non-binary,Student,Libyan Arab Jamahiriya
U100235,46.0,Prefer not to say,Unemployed,Afghanistan
U100236,20.0,Prefer not to say,Unemployed,Georgia
U100237,37.0,Female,Student,Panama
U100238,53.0,Male,Part-time,Northern Mariana Islands
U100239,36.0,Prefer not to say,Unemployed,Nepal
U100240,43.0,Non-binary,Unemployed,India
U100241,20.0,Prefer not to say,Part-time,Namibia
U100242,36.0,Prefer not to say,Full-time,Palau
U100243,37.0,Non-binary,Full-time,Vietnam
U100244,49.0,Male,Student,Zimbabwe
U100245,24.0,Prefer not to say,Freelancer,Niger
U100246,58.0,Prefer not to say,Unemployed,Thailand
U100247,50.0,Prefer not to say,Unemployed,Ireland
U100248,57.0,Female,Student,Antarctica (the territory South of 60 deg S)
U100249,56.0,Prefer not to say,Student,Niue
U100250,35.0,Non-binary,Unemployed,Cook Islands
U100251,57.0,Male,Part-time,Croatia
U100252,18.0,Male,Part-time,Haiti
U100253,28.0,Non-binary,Freelancer,Finland
U100254,45.0,Female,Unemployed,Central African Republic
U100255,42.0,Non-binary,Unemployed,Jordan
U100256,40.0,Male,Unemployed,Cocos (Keeling) Islands
U100257,48.0,Non-binary,Unemployed,Kenya
U100258,47.0,Female,Student,Sierra Leone
U100259,59.0,Male,Full-time,Myanmar
U100260,52.0,Female,Unemployed,Liberia
U100261,24.0,Non-binary,Full-time,New Caledonia
U100262,33.0,Prefer not to say,Part-time,Eritrea
U100263,43.0,Non-binary,Freelancer,Montserrat
U100264,19.0,Female,Part-time,Anguilla
U100265,18.0,Non-binary,Unemployed,Mexico
U100266,29.0,Prefer not to say,Part-time,Spain
U100267,22.0,Female,Student,Solomon Islands
U100268,54.0,Non-binary,Full-time,Ethiopia
U100269,49.0,Female,Unemployed,Hong Kong
U100270,26.0,Female,Student,Pitcairn Islands
U100271,58.0,Male,Full-time,Egypt
U100272,52.0,Male,Student,United Arab Emirates
U100273,36.0,Female,Part-time,Macao
U100274,33.0,Non-binary,Unemployed,Suriname
U100275,20.0,Non-binary,Part-time,Lithuania
U100276,37.0,Non-binary,Freelancer,Sudan
U100277,41.0,Prefer not to say,Unemployed,Dominica
U100278,50.0,Female,Part-time,Ukraine
U100279,41.0,Female,Unemployed,Hong Kong
U100280,28.0,Prefer not to say,Full-time,Philippines
U100281,25.0,Female,Unemployed,Zimbabwe
U100282,53.0,Female,Unemployed,Hungary
U100283,55.0,Prefer not to say,Full-time,Martinique
U100284,57.0,Male,Part-time,Palestinian Territory
U100285,37.0,Female,Unemployed,Fiji
U100286,52.0,Prefer not to say,Student,Madagascar
U100287,42.0,Non-binary,Unemployed,Russian Federation
U100288,52.0,Male,Part-time,Egypt
U100289,42.0,Non-binary,Full-time,Honduras
U100290,46.0,Female,Part-time,Luxembourg
U100291,35.0,Male,Freelancer,Solomon Islands
U100292,63.0,Prefer not to say,Unemployed,Antarctica (the territory South of 60 deg S)
U100293,35.0,Female,Unemployed,Estonia
U100294,19.0,Prefer not to say,Full-time,Haiti
U100295,52.0,Male,Unemployed,Albania
U100296,33.0,Non-binary,Student,Gibraltar
U100297,58.0,Female,Student,Fiji
U100298,53.0,Female,Part-time,Lithuania
U100299,50.0,Prefer not to say,Full-time,Seychelles
U100300,21.0,Male,Freelancer,Eritrea
U100301,50.0,Prefer not to say,Part-time,Brazil
U100302,31.0,Male,Full-time,Papua New Guinea
U100303,38.0,Female,Full-time,Mexico
U100304,37.0,Male,Part-time,Germany
U100305,25.0,Female,Part-time,Mali
U100306,24.0,Male,Unemployed,Swaziland
U100307,20.0,Non-binary,Freelancer,Seychelles
U100308,34.0,Male,Student,Gibraltar
U100309,50.0,Non-binary,Unemployed,Cape Verde
U100310,29.0,Male,Full-time,Costa Rica
U100311,39.0,Male,Freelancer,Iceland
U100312,39.0,Prefer not to say,Freelancer,Cambodia
U100313,63.0,Prefer not to say,Part-time,Vietnam
U100314,47.0,Female,Freelancer,Namibia
U100315,55.0,Prefer not to say,Freelancer,Greenland
U100316,55.0,Male,Full-time,Swaziland
U100317,62.0,Prefer not to say,Unemployed,Saint Martin
U100318,25.0,Male,Freelancer,Myanmar
U100319,44.0,Non-binary,Part-time,Nepal
U100320,44.0,Male,Unemployed,Vanuatu
U100321,51.0,Female,Part-time,Cambodia
U100322,38.0,Non-binary,Freelancer,Lebanon
U100323,47.0,Female,Unemployed,Nepal
U100324,50.0,Female,Freelancer,Lebanon
U100325,45.0,Female,Full-time,Armenia
U100326,64.0,Prefer not to say,Unemployed,Guernsey
U100327,50.0,Female,Part-time,South Georgia and the South Sandwich Islands
U100328,22.0,Non-binary,Full-time,United Arab Emirates
U100329,36.0,Male,Student,Montserrat
U100330,21.0,Female,Part-time,Cyprus
U100331,52.0,Non-binary,Freelancer,Dominica
U100332,34.0,Female,Part-time,Montserrat
U100333,61.0,Male,Student,Solomon Islands
U100334,45.0,Non-binary,Part-time,Niue
U100335,47.0,Non-binary,Full-time,Uzbekistan
U100336,46.0,Male,Part-time,Uruguay
U100337,63.0,Non-binary,Unemployed,Netherlands
U100338,23.0,Male,Student,American Samoa
U100339,52.0,Non-binary,Part-time,Northern Mariana Islands
U100340,58.0,Non-binary,Student,Jordan
U100341,54.0,Male,Full-time,Iran
U100342,41.0,Male,Unemployed,Nicaragua
U100343,46.0,Non-binary,Freelancer,Denmark
U100344,63.0,Non-binary,Part-time,Burkina Faso
U100345,48.0,Male,Full-time,Greenland
U100346,52.0,Prefer not to say,Student,Palestinian Territory
U100347,50.0,Male,Student,Saint Kitts and Nevis
U100348,38.0,Non-binary,Full-time,Dominican Republic
U100349,49.0,Non-binary,Part-time,Guatemala
U100350,40.0,Non-binary,Freelancer,Saint Kitts and Nevis
U100351,50.0,Male,Part-time,Antigua and Barbuda
U100352,20.0,Non-binary,Unemployed,Montenegro
U100353,35.0,Prefer not to say,Part-time,Iceland
U100354,42.0,Female,Unemployed,Nicaragua
U100355,59.0,Prefer not to say,Student,Anguilla
U100356,48.0,Male,Unemployed,Kuwait
U100357,20.0,Non-binary,Freelancer,Panama
U100358,57.0,Male,Full-time,Estonia
U100359,63.0,Female,Unemployed,Gibraltar
U100360,41.0,Male,Part-time,Mozambique
U100361,49.0,Non-binary,Unemployed,Isle of Man
U100362,64.0,Female,Student,Kenya
U100363,39.0,Female,Unemployed,Iceland
U100364,40.0,Non-binary,Freelancer,Turks and Caicos Islands
U100365,19.0,Non-binary,Unemployed,Algeria
U100366,44.0,Non-binary,Freelancer,New Zealand
U100367,59.0,Male,Part-time,Estonia
U100368,19.0,Prefer not to say,Student,Grenada
U100369,43.0,Male,Full-time,Gibraltar
U100370,34.0,Male,Part-time,Kenya
U100371,57.0,Prefer not to say,Part-time,Afghanistan
U100372,50.0,Non-binary,Full-time,Togo
U100373,26.0,Non-binary,Unemployed,Singapore
U100374,60.0,Prefer not to say,Unemployed,Belize
U100375,56.0,Prefer not to say,Unemployed,Uzbekistan
U100376,46.0,Male,Student,Bulgaria
U100377,59.0,Female,Part-time,Solomon Islands
U100378,43.0,Prefer not to say,Freelancer,Oman
U100379,52.0,Male,Full-time,Luxembourg
U100380,42.0,Female,Part-time,Christmas Island
U100381,41.0,Non-binary,Unemployed,Somalia
U100382,30.0,Non-binary,Full-time,Pakistan
U100383,24.0,Male,Freelancer,Jamaica
U100384,53.0,Male,Part-time,Wallis and Futuna
U100385,62.0,Prefer not to say,Part-time,United Arab Emirates
U100386,37.0,Non-binary,Student,Peru
U100387,18.0,Male,Part-time,Turks and Caicos Islands
U100388,25.0,Non-binary,Part-time,Cameroon
U100389,63.0,Non-binary,Freelancer,India
U100390,33.0,Prefer not to say,Freelancer,Mongolia
U100391,31.0,Female,Full-time,Bahrain
U100392,29.0,Prefer not to say,Unemployed,Turks and Caicos Islands
U100393,40.0,Male,Freelancer,American Samoa
U100394,32.0,Prefer not to say,Full-time,United States Minor Outlying Islands
U100395,45.0,Prefer not to say,Part-time,Indonesia
U100396,51.0,Non-binary,Full-time,Micronesia
U100397,19.0,Prefer not to say,Full-time,Barbados
U100398,49.0,Male,Full-time,Barbados
U100399,40.0,Female,Full-time,British Indian Ocean Territory (Chagos Archipelago)
U100400,39.0,Prefer not to say,Freelancer,Svalbard & Jan Mayen Islands
U100401,42.0,Prefer not to say,Unemployed,Afghanistan
U100402,39.0,Female,Full-time,Zimbabwe
U100403,39.0,Male,Student,Sao Tome and Principe
U100404,59.0,Male,Part-time,Timor-Leste
U100405,23.0,Prefer not to say,Part-time,Mongolia
U100406,32.0,Non-binary,Part-time,Malta
U100407,60.0,Prefer not to say,Part-time,Nepal
U100408,54.0,Female,Part-time,Zimbabwe
U100409,50.0,Female,Full-time,Mozambique
U100410,25.0,Female,Unemployed,Albania
U100411,61.0,Prefer not to say,Student,Slovenia
U100412,61.0,Prefer not to say,Freelancer,Zimbabwe
U100413,22.0,Male,Student,Qatar
U100414,56.0,Non-binary,Freelancer,Tokelau
U100415,21.0,Prefer not to say,Freelancer,South Africa
U100416,23.0,Male,Student,Reunion
U100417,62.0,Prefer not to say,Full-time,Micronesia
U100418,49.0,Male,Part-time,Central African Republic
U100419,47.0,Male,Full-time,Cambodia
U100420,64.0,Non-binary,Part-time,Niger
U100421,52.0,Prefer not to say,Unemployed,Lao People's Democratic Republic
U100422,57.0,Male,Freelancer,Saint Barthelemy
U100423,33.0,Female,Student,Brunei Darussalam
U100424,30.0,Female,Unemployed,Solomon Islands
U100425,59.0,Female,Part-time,Monaco
U100426,47.0,Non-binary,Full-time,Oman
U100427,36.0,Male,Student,Egypt
U100428,34.0,Non-binary,Freelancer,Serbia
U100429,36.0,Prefer not to say,Unemployed,Hong Kong
U100430,45.0,Prefer not to say,Freelancer,Netherlands
U100431,43.0,Male,Part-time,Faroe Islands
U100432,54.0,Female,Freelancer,France
U100433,43.0,Male,Full-time,Ghana
U100434,40.0,Male,Unemployed,Finland
U100435,26.0,Male,Unemployed,Bermuda
U100436,29.0,Non-binary,Full-time,Armenia
U100437,18.0,Prefer not to say,Freelancer,El Salvador
U100438,18.0,Male,Full-time,Chile
U100439,64.0,Male,Student,Albania
U100440,51.0,Male,Full-time,Cayman Islands
U100441,49.0,Non-binary,Freelancer,Dominican Republic
U100442,42.0,Non-binary,Full-time,Ireland
U100443,57.0,Non-binary,Part-time,New Zealand
U100444,62.0,Male,Full-time,Micronesia
U100445,18.0,Female,Full-time,Mali
U100446,33.0,Female,Freelancer,Pakistan
U100447,56.0,Female,Student,Poland
U100448,22.0,Prefer not to say,Student,Niger
U100449,39.0,Male,Freelancer,Antarctica (the territory South of 60 deg S)
U100450,46.0,Female,Freelancer,Bangladesh
U100451,20.0,Female,Freelancer,Nauru
U100452,29.0,Female,Part-time,Cambodia
U100453,43.0,Male,Unemployed,Iceland
U100454,33.0,Female,Full-time,Switzerland
U100455,54.0,Female,Freelancer,Benin
U100456,39.0,Male,Freelancer,Costa Rica
U100457,46.0,Prefer not to say,Freelancer,United States Minor Outlying Islands
U100458,31.0,Non-binary,Student,Ethiopia
U100459,45.0,Female,Freelancer,Venezuela
U100460,22.0,Non-binary,Full-time,Lao People's Democratic Republic
U100461,64.0,Prefer not to say,Freelancer,Equatorial Guinea
U100462,47.0,Prefer not to say,Full-time,Thailand
U100463,63.0,Female,Part-time,Nicaragua
U100464,22.0,Male,Unemployed,Montenegro
U100465,29.0,Prefer not to say,Student,Malaysia
U100466,33.0,Non-binary,Full-time,Colombia
U100467,43.0,Non-binary,Part-time,Seychelles
U100468,43.0,Non-binary,Unemployed,San Marino
U100469,38.0,Non-binary,Unemployed,Panama
U100470,56.0,Prefer not to say,Unemployed,Guam
U100471,53.0,Female,Full-time,Gibraltar
U100472,50.0,Female,Part-time,Maldives
U100473,47.0,Non-binary,Freelancer,Maldives
U100474,54.0,Female,Part-time,Belgium
U100475,40.0,Non-binary,Part-time,Turkmenistan
U100476,27.0,Non-binary,Part-time,Sri Lanka
U100477,22.0,Male,Full-time,Cape Verde
U100478,53.0,Prefer not to say,Full-time,Poland
U100479,51.0,Prefer not to say,Full-time,United States Minor Outlying Islands
U100480,48.0,Non-binary,Part-time,Congo
U100481,27.0,Prefer not to say,Full-time,Anguilla
U100482,36.0,Female,Unemployed,New Caledonia
U100483,49.0,Non-binary,Full-time,Angola
U100484,18.0,Male,Student,United Kingdom
U100485,22.0,Female,Full-time,Croatia
U100486,62.0,Male,Full-time,Mongolia
U100487,21.0,Male,Full-time,China
U100488,33.0,Prefer not to say,Full-time,Svalbard & Jan Mayen Islands
U100489,41.0,Prefer not to say,Student,Bermuda
U100490,33.0,Non-binary,Freelancer,United States Virgin Islands
U100491,19.0,Prefer not to say,Full-time,French Guiana
U100492,45.0,Male,Unemployed,Bangladesh
U100493,49.0,Male,Student,Malawi
U100494,44.0,Female,Freelancer,Georgia
U100495,37.0,Male,Full-time,Saint Kitts and Nevis
U100496,41.0,Non-binary,Freelancer,Panama
U100497,29.0,Non-binary,Unemployed,Slovakia (Slovak Republic)
U100498,52.0,Prefer not to say,Student,Turkmenistan
U100499,50.0,Prefer not to say,Student,Barbados
U100500,50.0,Prefer not to say,Freelancer,Tanzania
U100501,60.0,Non-binary,Full-time,Aruba
U100502,54.0,Male,Part-time,Palestinian Territory
U100503,29.0,Prefer not to say,Student,Lao People's Democratic Republic
U100504,20.0,Female,Part-time,United Arab Emirates
U100505,18.0,Prefer not to say,Student,Guernsey
U100506,50.0,Non-binary,Full-time,Honduras
U100507,57.0,Prefer not to say,Full-time,Malta
U100508,27.0,Male,Student,Burundi
U100509,60.0,Prefer not to say,Freelancer,Russian Federation
U100510,61.0,Non-binary,Full-time,Cayman Islands
U100511,46.0,Non-binary,Full-time,Malta
U100512,30.0,Female,Unemployed,Cuba
U100513,29.0,Non-binary,Full-time,Japan
U100514,48.0,Female,Unemployed,Bolivia
U100515,63.0,Male,Full-time,Seychelles
U100516,19.0,Non-binary,Full-time,Western Sahara
U100517,52.0,Prefer not to say,Freelancer,Canada
U100518,40.0,Male,Freelancer,Fiji
U100519,34.0,Prefer not to say,Full-time,Western Sahara
U100520,43.0,Prefer not to say,Student,Trinidad and Tobago
U100521,25.0,Prefer not to say,Student,French Polynesia
U100522,46.0,Male,Full-time,Kuwait
U100523,43.0,Male,Student,Greenland
U100524,27.0,Non-binary,Full-time,Egypt
U100525,43.0,Prefer not to say,Freelancer,Bahrain
U100526,51.0,Female,Part-time,Israel
U100527,58.0,Non-binary,Unemployed,Finland
U100528,24.0,Male,Student,Malta
U100529,21.0,Female,Student,United Kingdom
U100530,62.0,Male,Freelancer,Micronesia
U100531,28.0,Female,Student,Czech Republic
U100532,46.0,Non-binary,Full-time,Morocco
U100533,53.0,Female,Full-time,Singapore
U100534,42.0,Non-binary,Part-time,Guinea-Bissau
U100535,38.0,Male,Part-time,Peru
U100536,53.0,Female,Part-time,Sao Tome and Principe
U100537,27.0,Prefer not to say,Full-time,Guatemala
U100538,54.0,Prefer not to say,Part-time,Burundi
U100539,26.0,Male,Part-time,Niger
U100540,41.0,Female,Full-time,Hungary
U100541,52.0,Prefer not to say,Freelancer,New Zealand
U100542,52.0,Non-binary,Student,Colombia
U100543,53.0,Female,Unemployed,Bermuda
U100544,35.0,Female,Full-time,Mali
U100545,56.0,Prefer not to say,Full-time,Lao People's Democratic Republic
U100546,49.0,Non-binary,Unemployed,Malta
U100547,41.0,Non-binary,Unemployed,Senegal
U100548,40.0,Non-binary,Part-time,Mozambique
U100549,49.0,Female,Unemployed,Christmas Island
U100550,54.0,Male,Student,Mozambique
U100551,29.0,Female,Student,Chile
U100552,30.0,Female,Student,Honduras
U100553,40.0,Prefer not to say,Student,Mauritania
U100554,42.0,Male,Student,Rwanda
U100555,52.0,Non-binary,Part-time,Israel
U100556,58.0,Prefer not to say,Full-time,Hungary
U100557,47.0,Female,Unemployed,Netherlands Antilles
U100558,34.0,Male,Full-time,Sierra Leone
U100559,37.0,Non-binary,Unemployed,Norway
U100560,42.0,Non-binary,Part-time,Suriname
U100561,39.0,Female,Part-time,Sierra Leone
U100562,30.0,Non-binary,Freelancer,Saudi Arabia
U100563,36.0,Non-binary,Freelancer,Saint Vincent and the Grenadines
U100564,53.0,Male,Part-time,Saint Kitts and Nevis
U100565,29.0,Prefer not to say,Part-time,Monaco
