ClickID,UserID,FeatureID,ClickTimestamp,TimeSpentSeconds
C1000151,U108096,F1230,2024-04-02 05:57:42,292.0
C1000152,U106300,F1201,2024-08-28 00:46:46,73.0
C1000153,U107348,F1091,2024-04-18 08:48:47,124.0
C1000154,U105844,F1046,2024-04-16 03:26:18,235.0
C1000155,U102176,F1010,2024-04-28 08:46:16,267.0
C1000156,U105362,F1161,2024-07-06 15:10:22,267.0
C1000157,U108097,F1050,2024-09-14 03:05:09,156.0
C1000158,U105599,F1004,2024-07-10 09:10:30,219.0
C1000159,U109068,F1286,2024-06-21 22:48:36,92.0
C1000160,U104258,F1084,2024-02-23 18:31:13,194.0
C1000161,U109146,F1295,2024-01-11 12:33:06,268.0
C1000162,U104119,F1265,2024-01-11 01:48:30,177.0
C1000163,U106640,F1229,2024-03-11 16:15:33,219.0
C1000164,U104288,F1144,2024-01-15 05:56:44,236.0
C1000165,U100877,F1213,2024-09-18 03:53:59,115.0
C1000166,U104485,F1207,2024-12-24 19:24:22,23.0
C1000167,U102544,F1289,2024-06-16 15:23:11,23.0
C1000168,U105059,F1235,2024-07-01 02:54:10,295.0
C1000169,U107164,F1032,2024-09-10 16:45:23,14.0
C1000170,U102600,F1132,2024-05-13 05:50:08,176.0
C1000171,U103528,F1103,2024-02-26 20:25:39,144.0
C1000172,U102408,F1041,2024-06-25 01:21:32,190.0
C1000173,U104860,F1130,2024-02-25 17:44:48,156.0
C1000174,U103948,F1190,2024-05-26 07:00:37,267.0
C1000175,U109430,F1268,2024-10-10 02:39:43,242.0
C1000176,U102334,F1243,2024-01-19 16:05:09,280.0
C1000177,U100767,F1060,2024-06-10 13:11:15,275.0
C1000178,U104883,F1157,2024-04-01 00:32:55,23.0
C1000179,U104206,F1068,2024-05-19 18:12:13,271.0
C1000180,U105948,F1293,2024-09-28 16:52:12,6.0
C1000181,U107085,F1094,2024-01-02 19:39:00,202.0
C1000182,U100744,F1247,2024-04-24 12:18:39,153.0
C1000183,U104174,F1257,2024-11-04 04:17:08,147.0
C1000184,U109709,F1056,2024-08-04 17:03:14,279.0
C1000185,U107198,F1262,2024-12-04 23:29:34,234.0
C1000186,U102556,F1207,2024-12-26 04:11:12,238.0
C1000187,U105066,F1028,2024-02-06 01:15:42,277.0
C1000188,U107797,F1221,2024-07-02 14:56:14,100.0
C1000189,U104161,F1161,2024-09-07 15:12:34,192.0
C1000190,U109586,F1097,2024-05-02 11:38:28,233.0
C1000191,U100286,F1172,2024-12-09 00:25:33,166.0
C1000192,U103247,F1126,2024-01-23 20:07:26,65.0
C1000193,U105099,F1099,2024-10-07 03:59:37,62.0
C1000194,U100003,F1070,2024-10-30 03:12:26,67.0
C1000195,U105935,F1185,2024-07-19 12:58:27,249.0
C1000196,U100411,F1083,2024-02-10 00:36:39,62.0
C1000197,U104345,F1228,2024-11-25 14:37:41,187.0
C1000198,U103727,F1288,2024-11-04 19:39:45,152.0
C1000199,U101356,F1249,2024-02-08 10:02:45,64.0
C1000200,U108349,F1096,2024-08-07 09:24:01,174.0
C1000201,U101600,F1217,2024-12-23 00:36:08,53.0
C1000202,U107157,F1191,2024-09-09 10:15:14,277.0
C1000203,U105706,F1165,2024-10-12 06:44:58,86.0
C1000204,U105559,F1011,2024-06-07 07:00:38,280.0
C1000205,U107196,F1190,2024-10-27 07:39:08,71.0
C1000206,U105073,F1187,2024-04-06 16:23:53,229.0
C1000207,U102382,F1275,2024-12-29 03:52:06,282.0
C1000208,U100152,F1241,2024-03-24 15:05:00,64.0
C1000209,U109821,F1017,2024-08-02 07:13:35,295.0
C1000210,U102796,F1261,2024-07-15 16:12:09,231.0
C1000211,U107282,F1065,2024-06-02 01:07:46,292.0
C1000212,U106951,F1068,2024-11-18 23:33:21,221.0
C1000213,U102805,F1126,2024-06-01 05:59:26,53.0
C1000214,U104080,F1124,2024-09-24 12:14:08,81.0
C1000215,U109247,F1101,2024-08-08 18:36:03,120.0
C1000216,U105850,F1213,2024-05-27 20:16:41,65.0
C1000217,U107362,F1149,2024-05-15 03:02:41,270.0
C1000218,U101328,F1064,2024-11-26 10:23:05,35.0
C1000219,U102392,F1227,2024-11-15 13:01:08,279.0
C1000220,U103153,F1076,2024-02-04 05:46:51,213.0
C1000221,U108192,F1190,2024-02-05 08:10:46,211.0
C1000222,U100166,F1140,2024-06-23 16:21:13,61.0
C1000223,U103254,F1114,2024-02-14 15:12:43,197.0
C1000224,U105060,F1122,2024-01-16 02:26:37,297.0
C1000225,U101885,F1239,2024-03-24 16:32:02,29.0
C1000226,U104368,F1058,2024-03-08 13:13:24,266.0
C1000227,U107529,F1113,2024-05-07 08:54:44,59.0
C1000228,U100899,F1081,2024-09-07 01:17:49,193.0
C1000229,U102248,F1213,2024-02-25 10:50:53,241.0
C1000230,U103412,F1256,2024-04-16 09:51:28,229.0
C1000231,U106449,F1008,2024-04-18 05:56:41,28.0
C1000232,U109411,F1002,2024-05-02 08:42:45,34.0
C1000233,U103132,F1264,2024-08-05 19:31:52,55.0
C1000234,U108155,F1277,2024-07-20 09:38:06,243.0
C1000235,U108136,F1100,2024-09-30 13:54:54,175.0
C1000236,U100359,F1117,2024-07-05 07:24:26,247.0
C1000237,U106450,F1079,2024-06-04 10:57:01,240.0
C1000238,U107647,F1132,2024-12-15 19:58:28,133.0
C1000239,U108525,F1038,2024-03-26 14:54:01,179.0
C1000240,U100730,F1002,2024-10-16 00:27:11,23.0
C1000241,U107067,F1025,2024-06-30 19:13:20,196.0
C1000242,U109689,F1263,2024-04-28 05:45:09,66.0
C1000243,U101417,F1051,2024-03-06 17:26:10,224.0
C1000244,U107767,F1196,2024-07-28 13:38:19,9.0
C1000245,U107888,F1154,2024-09-03 21:14:17,86.0
C1000246,U103763,F1213,2024-06-23 16:19:39,133.0
C1000247,U109935,F1055,2024-11-15 10:25:24,175.0
C1000248,U106928,F1042,2024-09-18 17:29:03,261.0
C1000249,U105696,F1026,2024-10-09 10:32:06,244.0
C1000250,U100878,F1044,2024-12-30 05:03:00,168.0
C1000251,U105482,F1032,2024-05-23 13:38:48,160.0
C1000252,U102884,F1126,2024-11-04 20:25:29,13.0
C1000253,U102297,F1094,2024-04-06 06:33:46,56.0
C1000254,U108852,F1283,2024-07-04 06:45:55,282.0
C1000255,U107371,F1108,2024-11-02 10:03:55,175.0
C1000256,U103985,F1080,2024-03-16 23:28:22,272.0
C1000257,U101269,F1178,2024-05-23 09:37:37,216.0
C1000258,U101294,F1191,2024-01-09 00:55:51,58.0
C1000259,U101009,F1034,2024-06-17 23:33:05,50.0
C1000260,U101757,F1261,2024-11-28 13:27:42,278.0
C1000261,U107776,F1220,2024-06-28 02:08:37,267.0
C1000262,U109383,F1185,2024-02-23 00:23:46,201.0
C1000263,U106578,F1127,2024-02-07 04:26:58,174.0
C1000264,U108180,F1269,2024-06-03 19:47:33,56.0
C1000265,U109245,F1200,2024-02-14 18:46:41,70.0
C1000266,U102841,F1078,2024-08-26 22:48:23,261.0
C1000267,U105716,F1229,2024-10-29 18:05:42,21.0
C1000268,U102404,F1147,2024-06-21 13:40:15,125.0
C1000269,U103562,F1213,2024-02-11 10:02:02,208.0
C1000270,U101271,F1123,2024-03-28 09:15:31,51.0
C1000271,U109911,F1144,2024-03-31 13:33:52,76.0
C1000272,U108444,F1141,2024-07-27 09:22:22,157.0
C1000273,U102768,F1025,2024-10-01 22:45:59,80.0
C1000274,U109751,F1231,2024-04-24 15:34:10,37.0
C1000275,U107801,F1159,2024-06-28 14:29:50,178.0
C1000276,U108928,F1231,2024-08-18 10:29:48,168.0
C1000277,U106142,F1070,2024-02-20 09:20:58,44.0
C1000278,U101928,F1200,2024-06-15 19:45:13,108.0
C1000279,U106266,F1267,2024-12-08 01:56:08,260.0
C1000280,U105413,F1002,2024-07-23 22:09:21,44.0
C1000281,U106828,F1142,2024-09-05 20:27:06,95.0
C1000282,U102190,F1136,2024-07-16 09:36:46,6.0
C1000283,U101002,F1048,2024-04-22 18:34:06,245.0
C1000284,U106654,F1171,2024-07-11 01:54:26,272.0
C1000285,U108094,F1080,2024-11-28 23:39:36,177.0
C1000286,U106067,F1155,2024-10-11 03:27:34,130.0
C1000287,U103752,F1268,2024-04-03 10:50:44,109.0
C1000288,U106200,F1020,2024-12-09 17:25:07,151.0
C1000289,U104137,F1049,2024-12-27 00:42:55,115.0
C1000290,U103702,F1174,2024-01-12 12:53:34,279.0
C1000291,U105943,F1113,2024-11-01 09:31:20,222.0
C1000292,U104438,F1260,2024-09-09 16:36:36,50.0
C1000293,U104427,F1262,2024-08-14 01:27:13,297.0
C1000294,U105556,F1292,2024-08-10 01:17:12,107.0
C1000295,U108532,F1253,2024-01-16 01:09:46,248.0
C1000296,U102388,F1066,2024-02-14 22:06:45,296.0
C1000297,U106992,F1102,2024-10-27 17:55:05,11.0
C1000298,U106325,F1282,2024-08-31 03:54:13,195.0
C1000299,U101700,F1050,2024-12-03 16:34:24,231.0
C1000300,U105383,F1175,2024-11-18 02:12:04,110.0
C1000301,U101233,F1242,2024-07-07 15:56:06,193.0
C1000302,U102298,F1180,2024-02-28 05:37:56,204.0
C1000303,U108329,F1210,2024-08-31 15:18:36,259.0
C1000304,U102930,F1047,2024-03-22 16:41:52,106.0
C1000305,U101833,F1231,2024-06-04 14:44:56,235.0
C1000306,U102139,F1265,2024-12-12 22:01:35,236.0
C1000307,U108399,F1093,2024-07-30 02:16:54,50.0
C1000308,U109879,F1254,2024-04-20 02:00:38,180.0
C1000309,U106436,F1085,2024-05-16 19:32:56,93.0
C1000310,U102208,F1094,2024-12-09 16:53:54,116.0
C1000311,U107553,F1045,2024-11-28 21:33:44,165.0
C1000312,U105622,F1035,2024-09-01 04:17:50,73.0
C1000313,U109042,F1009,2024-05-29 10:42:21,98.0
C1000314,U106286,F1243,2024-11-10 19:58:26,189.0
C1000315,U107936,F1026,2024-07-18 16:29:12,240.0
C1000316,U103690,F1078,2024-05-15 06:52:03,248.0
C1000317,U102609,F1138,2024-09-20 12:43:04,238.0
C1000318,U106178,F1031,2024-01-04 02:05:19,299.0
C1000319,U100223,F1147,2024-05-21 01:56:08,254.0
C1000320,U103774,F1045,2024-02-17 20:26:40,194.0
C1000321,U109603,F1059,2024-09-07 15:15:40,285.0
C1000322,U107916,F1067,2024-12-29 21:31:39,188.0
C1000323,U108514,F1016,2024-11-26 11:13:32,43.0
C1000324,U105973,F1064,2024-09-19 04:04:19,210.0
C1000325,U109703,F1184,2024-01-16 19:59:46,221.0
C1000326,U102086,F1274,2024-04-09 06:56:50,49.0
C1000327,U106896,F1004,2024-10-24 19:48:26,116.0
C1000328,U107483,F1081,2024-10-03 08:17:00,152.0
C1000329,U107663,F1054,2024-06-25 02:11:25,108.0
C1000330,U107284,F1003,2024-07-06 03:53:37,10.0
C1000331,U105461,F1179,2024-01-02 20:37:06,82.0
C1000332,U102287,F1018,2024-02-28 01:13:54,245.0
C1000333,U108878,F1130,2024-11-01 09:47:32,158.0
C1000334,U109660,F1066,2024-10-10 17:35:16,82.0
C1000335,U104835,F1284,2024-12-26 06:45:44,118.0
C1000336,U109188,F1180,2024-08-01 03:05:44,155.0
C1000337,U102534,F1135,2024-08-10 08:45:16,93.0
C1000338,U105530,F1132,2024-08-08 19:20:04,111.0
C1000339,U100622,F1063,2024-06-05 13:43:12,174.0
C1000340,U101075,F1026,2024-09-24 21:33:37,207.0
C1000341,U106876,F1288,2024-10-18 09:44:27,162.0
C1000342,U108495,F1281,2024-12-22 09:51:49,196.0
C1000343,U108855,F1222,2024-05-25 18:07:25,157.0
C1000344,U105237,F1269,2024-02-17 11:20:23,94.0
C1000345,U103994,F1031,2024-05-31 18:51:24,10.0
C1000346,U102694,F1296,2024-09-12 02:17:28,261.0
C1000347,U104304,F1248,2024-01-21 23:01:09,20.0
C1000348,U103198,F1141,2024-01-15 16:12:10,71.0
C1000349,U105412,F1047,2024-06-12 12:24:41,84.0
C1000350,U108710,F1175,2024-11-29 10:03:44,287.0
C1000351,U107389,F1293,2024-11-10 14:42:38,262.0
C1000352,U104433,F1032,2024-05-06 23:43:30,29.0
C1000353,U105909,F1096,2024-01-07 16:18:13,215.0
C1000354,U108017,F1023,2024-11-08 07:47:57,238.0
C1000355,U103810,F1025,2024-07-30 05:30:19,93.0
C1000356,U100912,F1049,2024-05-12 01:12:58,107.0
C1000357,U107442,F1169,2024-06-09 17:13:20,89.0
C1000358,U104902,F1094,2024-01-29 05:46:26,298.0
C1000359,U103188,F1218,2024-09-15 17:01:38,172.0
C1000360,U109507,F1140,2024-03-10 00:19:35,16.0
C1000361,U103228,F1223,2024-08-05 20:08:21,161.0
C1000362,U100571,F1278,2024-10-16 05:37:03,125.0
C1000363,U107768,F1164,2024-08-15 17:39:21,161.0
C1000364,U105135,F1058,2024-09-21 18:08:47,100.0
C1000365,U108289,F1271,2024-09-01 05:42:12,79.0
C1000366,U104033,F1294,2024-07-31 01:48:08,297.0
C1000367,U101639,F1199,2024-07-14 19:54:05,243.0
C1000368,U106443,F1081,2024-07-05 09:24:24,222.0
C1000369,U104842,F1249,2024-05-29 10:37:12,70.0
C1000370,U105541,F1264,2024-12-09 02:17:07,194.0
C1000371,U104027,F1091,2024-12-26 06:49:17,289.0
C1000372,U100260,F1277,2024-02-01 04:36:29,200.0
C1000373,U109127,F1074,2024-08-21 16:57:16,102.0
C1000374,U101797,F1013,2024-03-05 05:28:20,259.0
C1000375,U100331,F1214,2024-03-31 23:22:39,78.0
C1000376,U104210,F1078,2024-07-25 02:02:59,220.0
C1000377,U108459,F1132,2024-02-10 02:24:46,14.0
C1000378,U102059,F1224,2024-01-24 23:36:17,295.0
C1000379,U100072,F1239,2024-10-27 17:19:35,244.0
C1000380,U105111,F1256,2024-07-16 01:41:56,67.0
C1000381,U102921,F1141,2024-01-14 23:34:44,79.0
C1000382,U103888,F1238,2024-02-14 06:49:21,149.0
C1000383,U100177,F1054,2024-05-31 11:58:06,69.0
C1000384,U101999,F1016,2024-01-31 01:27:13,202.0
C1000385,U108963,F1008,2024-07-18 06:59:34,56.0
C1000386,U109137,F1267,2024-01-19 15:41:06,65.0
C1000387,U107426,F1121,2024-02-26 18:55:38,121.0
C1000388,U104495,F1036,2024-07-28 21:18:17,193.0
C1000389,U100269,F1168,2024-01-17 06:58:18,295.0
C1000390,U101655,F1259,2024-05-12 13:13:39,17.0
C1000391,U102533,F1070,2024-04-21 02:21:57,183.0
C1000392,U104982,F1016,2024-05-09 22:53:54,27.0
C1000393,U104361,F1101,2024-10-03 08:03:29,81.0
C1000394,U106118,F1217,2024-11-22 17:18:40,38.0
C1000395,U108696,F1277,2024-06-18 08:02:19,111.0
C1000396,U102404,F1295,2024-10-09 18:12:41,249.0
C1000397,U102201,F1236,2024-12-06 15:58:18,15.0
C1000398,U106019,F1103,2024-12-24 05:39:10,69.0
C1000399,U105659,F1132,2024-11-19 14:07:21,154.0
C1000400,U101153,F1008,2024-07-17 13:42:30,45.0
C1000401,U104161,F1059,2024-12-03 14:53:29,157.0
C1000402,U101336,F1275,2024-12-07 17:11:36,267.0
C1000403,U108598,F1122,2024-05-08 02:44:28,158.0
C1000404,U103478,F1289,2024-08-21 14:22:36,101.0
C1000405,U100276,F1124,2024-06-25 05:58:04,55.0
C1000406,U106758,F1070,2024-01-26 04:59:41,28.0
C1000407,U103480,F1165,2024-06-24 22:23:44,14.0
C1000408,U102361,F1031,2024-10-28 12:30:20,17.0
C1000409,U105368,F1173,2024-08-24 13:06:26,22.0
C1000410,U108652,F1024,2024-07-15 13:36:46,143.0
C1000411,U102446,F1160,2024-12-27 21:47:46,190.0
C1000412,U109774,F1125,2024-03-29 07:11:47,25.0
C1000413,U107601,F1284,2024-11-17 07:07:46,50.0
C1000414,U105051,F1186,2024-10-02 17:45:33,60.0
C1000415,U103517,F1158,2024-03-21 18:51:58,12.0
C1000416,U104802,F1025,2024-02-18 07:56:18,90.0
C1000417,U102375,F1062,2024-01-28 15:54:32,9.0
C1000418,U107850,F1084,2024-01-25 14:36:37,146.0
C1000419,U106744,F1225,2024-10-01 12:13:08,49.0
C1000420,U106389,F1176,2024-07-23 14:49:23,207.0
C1000421,U106248,F1238,2024-02-04 11:51:40,190.0
C1000422,U100971,F1046,2024-05-31 21:51:46,227.0
C1000423,U107136,F1277,2024-09-08 14:48:36,75.0
C1000424,U109517,F1191,2024-09-12 12:53:24,111.0
C1000425,U108344,F1173,2024-08-18 01:01:46,189.0
C1000426,U103960,F1159,2024-09-24 18:47:13,289.0
C1000427,U103086,F1212,2024-04-06 04:22:51,207.0
C1000428,U108921,F1090,2024-12-04 00:34:32,17.0
C1000429,U103967,F1233,2024-12-07 13:18:56,221.0
C1000430,U104951,F1164,2024-05-10 06:42:33,54.0
C1000431,U104002,F1179,2024-05-08 17:23:15,188.0
C1000432,U102332,F1108,2024-08-11 04:25:10,66.0
C1000433,U109765,F1033,2024-05-30 03:46:16,104.0
C1000434,U104375,F1188,2024-07-11 04:24:37,187.0
C1000435,U100685,F1220,2024-04-01 19:00:35,288.0
C1000436,U103888,F1172,2024-08-06 17:40:49,200.0
C1000437,U109771,F1168,2024-03-30 12:50:11,16.0
C1000438,U100968,F1065,2024-04-22 11:16:23,42.0
C1000439,U107320,F1267,2024-09-10 15:53:57,27.0
C1000440,U102033,F1270,2024-03-16 16:28:37,122.0
C1000441,U107075,F1125,2024-05-14 23:28:53,271.0
C1000442,U105261,F1246,2024-11-09 23:35:05,142.0
C1000443,U108959,F1271,2024-12-15 22:40:58,81.0
C1000444,U100645,F1258,2024-04-05 20:15:08,163.0
C1000445,U104121,F1237,2024-07-27 19:10:14,176.0
C1000446,U108112,F1090,2024-02-19 07:52:21,25.0
C1000447,U109271,F1215,2024-03-27 22:00:01,147.0
C1000448,U106436,F1229,2024-09-22 23:52:11,238.0
C1000449,U108828,F1154,2024-12-07 12:17:01,79.0
C1000450,U107097,F1163,2024-05-06 14:50:15,268.0
C1000451,U108292,F1144,2024-06-09 14:57:11,102.0
C1000452,U105586,F1189,2024-03-21 16:06:49,109.0
C1000453,U100868,F1128,2024-06-24 08:25:20,158.0
C1000454,U105914,F1275,2024-09-28 19:54:50,25.0
C1000455,U108213,F1196,2024-05-15 01:58:32,54.0
C1000456,U106355,F1191,2024-01-21 07:44:16,284.0
C1000457,U101903,F1254,2024-12-16 15:33:33,228.0
C1000458,U102576,F1052,2024-12-19 05:23:05,30.0
C1000459,U104109,F1108,2024-08-06 18:39:48,55.0
C1000460,U104614,F1107,2024-03-22 22:19:03,148.0
C1000461,U108014,F1188,2024-01-24 18:34:52,56.0
C1000462,U103293,F1280,2024-08-24 22:42:10,254.0
C1000463,U101935,F1028,2024-08-07 05:39:40,250.0
