ScrollID,UserID,FeatureID,ScrollPercent,SessionDate
S2000187,U101511,F1053,15.7,2024-02-16
S2000188,U108047,F1067,38.27,2024-07-27
S2000189,U109734,F1012,90.22,2024-09-17
S2000190,U108186,F1226,12.53,2024-12-30
S2000191,U109097,F1097,64.09,2024-05-25
S2000192,U105426,F1142,59.75,2024-04-12
S2000193,U104683,F1112,78.72,2024-03-27
S2000194,U106496,F1041,26.71,2024-01-25
S2000195,U107457,F1286,57.72,2024-01-15
S2000196,U102529,F1094,92.83,2024-05-02
S2000197,U109333,F1264,37.54,2024-05-01
S2000198,U108338,F1098,58.34,2024-03-13
S2000199,U108067,F1137,59.23,2024-02-19
S2000200,U101879,F1210,58.23,2024-05-16
S2000201,U102463,F1133,33.64,2024-05-07
S2000202,U106863,F1000,30.51,2024-03-10
S2000203,U106478,F1130,16.06,2024-06-17
S2000204,U100339,F1166,37.35,2024-07-13
S2000205,U102233,F1129,50.31,2024-11-10
S2000206,U100923,F1292,29.13,2024-08-04
S2000207,U106261,F1083,38.12,2024-10-28
S2000208,U108571,F1220,81.63,2024-11-02
S2000209,U103374,F1015,19.53,2024-02-24
S2000210,U101123,F1176,85.85,2024-08-30
S2000211,U105341,F1090,80.65,2024-02-26
S2000212,U105597,F1007,55.14,2024-07-13
S2000213,U101781,F1263,65.25,2024-05-25
S2000214,U106035,F1140,70.12,2024-05-19
S2000215,U101513,F1099,19.42,2024-02-14
S2000216,U100410,F1097,62.63,2024-06-23
S2000217,U108193,F1241,54.16,2024-01-19
S2000218,U100182,F1009,68.61,2024-06-19
S2000219,U108671,F1038,58.29,2024-02-15
S2000220,U101445,F1118,36.17,2024-07-18
S2000221,U100193,F1043,50.11,2024-07-15
S2000222,U100333,F1027,42.42,2024-11-08
S2000223,U107276,F1252,75.79,2024-04-14
S2000224,U109010,F1189,22.85,2024-11-06
S2000225,U101046,F1089,73.32,2024-03-08
S2000226,U109229,F1188,65.52,2024-01-29
S2000227,U100109,F1113,26.26,2024-07-24
S2000228,U102325,F1290,85.02,2024-09-27
S2000229,U105036,F1274,80.08,2024-09-17
S2000230,U100268,F1116,63.61,2024-08-01
S2000231,U101202,F1123,32.4,2024-05-17
S2000232,U108160,F1205,66.53,2024-09-13
S2000233,U101625,F1109,40.64,2024-12-26
S2000234,U106161,F1123,68.86,2024-02-26
S2000235,U105200,F1132,49.74,2024-12-17
S2000236,U107042,F1239,78.46,2024-02-19
S2000237,U105055,F1256,28.37,2024-05-30
S2000238,U103568,F1133,39.62,2024-04-04
S2000239,U104556,F1016,16.77,2024-02-22
S2000240,U105616,F1102,58.12,2024-12-05
S2000241,U105315,F1131,16.66,2024-06-16
S2000242,U108819,F1149,79.88,2024-01-06
S2000243,U104971,F1046,58.19,2024-05-23
S2000244,U102114,F1046,62.56,2024-06-26
S2000245,U105302,F1297,97.68,2024-11-06
S2000246,U100911,F1020,90.72,2024-12-11
S2000247,U107390,F1012,75.28,2024-02-09
S2000248,U105053,F1017,86.45,2024-12-09
S2000249,U106651,F1299,81.56,2024-10-17
S2000250,U107701,F1240,42.78,2024-08-22
S2000251,U102426,F1094,73.02,2024-03-23
S2000252,U100331,F1020,48.05,2024-12-19
S2000253,U109142,F1123,82.72,2024-10-02
S2000254,U106285,F1292,23.6,2024-08-07
S2000255,U108045,F1250,85.73,2024-01-01
S2000256,U107800,F1030,33.77,2024-05-27
S2000257,U100343,F1141,11.47,2024-01-05
S2000258,U105647,F1021,96.31,2024-09-08
S2000259,U101117,F1204,68.71,2024-07-28
S2000260,U102905,F1053,96.05,2024-11-03
S2000261,U101301,F1141,60.83,2024-04-17
S2000262,U105552,F1087,34.26,2024-03-14
S2000263,U104343,F1068,36.98,2024-05-02
S2000264,U106220,F1188,92.76,2024-08-03
S2000265,U101384,F1200,37.31,2024-08-12
S2000266,U109625,F1209,26.66,2024-02-04
S2000267,U103182,F1230,97.65,2024-03-20
S2000268,U100046,F1049,70.86,2024-02-24
S2000269,U104188,F1113,45.51,2024-03-11
S2000270,U107833,F1171,25.27,2024-06-28
S2000271,U105741,F1208,52.21,2024-04-24
S2000272,U103104,F1216,82.58,2024-05-21
S2000273,U107031,F1177,97.94,2024-07-05
S2000274,U107249,F1110,71.05,2024-06-16
S2000275,U102805,F1185,60.69,2024-11-08
S2000276,U103346,F1047,65.4,2024-08-15
S2000277,U102579,F1136,64.74,2024-01-26
S2000278,U107123,F1210,70.79,2024-11-03
S2000279,U100772,F1194,49.79,2024-12-24
S2000280,U106207,F1031,54.84,2024-07-24
S2000281,U109327,F1098,79.89,2024-01-07
S2000282,U103573,F1289,20.7,2024-09-15
S2000283,U109634,F1267,54.64,2024-05-24
S2000284,U101125,F1125,70.38,2024-03-22
S2000285,U105467,F1079,61.65,2024-02-13
S2000286,U106755,F1043,44.95,2024-11-16
S2000287,U101950,F1228,50.51,2024-02-03
S2000288,U105005,F1168,77.61,2024-01-10
S2000289,U101159,F1283,72.49,2024-04-10
S2000290,U101666,F1133,15.94,2024-11-18
S2000291,U107422,F1082,63.79,2024-09-21
S2000292,U109224,F1046,32.56,2024-11-16
S2000293,U108126,F1106,23.54,2024-07-15
S2000294,U105218,F1099,28.81,2024-06-03
S2000295,U106207,F1230,33.8,2024-12-01
S2000296,U107306,F1243,32.97,2024-05-11
S2000297,U109350,F1155,11.75,2024-08-29
S2000298,U102323,F1090,93.75,2024-02-29
S2000299,U108808,F1153,51.56,2024-01-29
S2000300,U100338,F1275,81.43,2024-12-23
S2000301,U100110,F1090,55.69,2024-05-18
S2000302,U108843,F1038,58.39,2024-02-05
S2000303,U105588,F1111,34.85,2024-04-30
S2000304,U102096,F1263,27.37,2024-08-11
S2000305,U108139,F1250,55.46,2024-07-29
S2000306,U100077,F1204,35.37,2024-01-18
S2000307,U105010,F1052,16.65,2024-06-19
S2000308,U107605,F1187,10.28,2024-08-06
S2000309,U109645,F1033,23.56,2024-09-23
S2000310,U104762,F1002,26.09,2024-07-30
S2000311,U107956,F1148,63.29,2024-06-25
S2000312,U109909,F1113,47.4,2024-10-20
S2000313,U102030,F1180,35.55,2024-05-06
S2000314,U100465,F1282,92.27,2024-09-29
S2000315,U106245,F1103,65.65,2024-10-17
S2000316,U107437,F1176,89.21,2024-02-28
S2000317,U108303,F1008,38.63,2024-05-10
S2000318,U103513,F1166,22.89,2024-10-19
S2000319,U109732,F1223,59.84,2024-02-11
S2000320,U101278,F1104,95.1,2024-11-03
S2000321,U104102,F1253,26.75,2024-07-25
S2000322,U109877,F1247,56.81,2024-11-03
S2000323,U105403,F1174,65.9,2024-09-04
S2000324,U102316,F1072,34.43,2024-12-25
S2000325,U109768,F1294,63.54,2024-11-29
S2000326,U105620,F1135,40.68,2024-10-30
S2000327,U108736,F1153,48.74,2024-12-29
S2000328,U109335,F1214,60.67,2024-03-16
S2000329,U103172,F1044,95.05,2024-06-24
S2000330,U106530,F1080,48.79,2024-09-29
S2000331,U100459,F1103,46.12,2024-10-05
S2000332,U106892,F1269,39.51,2024-08-17
S2000333,U106262,F1264,46.62,2024-10-23
S2000334,U102256,F1067,39.35,2024-05-26
S2000335,U105491,F1017,35.15,2024-06-24
S2000336,U107477,F1096,56.21,2024-05-24
S2000337,U106707,F1260,94.26,2024-09-20
S2000338,U109895,F1138,51.37,2024-04-08
S2000339,U103956,F1126,83.74,2024-02-10
S2000340,U100764,F1034,71.37,2024-02-19
S2000341,U109938,F1192,90.3,2024-12-18
S2000342,U107299,F1010,18.07,2024-10-15
S2000343,U108145,F1228,16.99,2024-07-18
S2000344,U109495,F1284,38.89,2024-08-29
S2000345,U103619,F1096,60.84,2024-05-08
S2000346,U107852,F1013,42.6,2024-07-12
S2000347,U103948,F1110,44.26,2024-07-25
S2000348,U107801,F1291,27.41,2024-04-25
S2000349,U100437,F1124,59.28,2024-12-07
S2000350,U105875,F1245,43.91,2024-01-04
S2000351,U105586,F1027,33.56,2024-08-04
S2000352,U107203,F1143,24.9,2024-08-21
S2000353,U100530,F1270,67.11,2024-02-26
S2000354,U107316,F1023,70.47,2024-07-02
S2000355,U106037,F1013,61.33,2024-05-22
S2000356,U107726,F1272,11.64,2024-10-11
S2000357,U103927,F1297,33.48,2024-07-24
S2000358,U103146,F1109,58.98,2024-06-07
S2000359,U100906,F1058,36.08,2024-06-17
S2000360,U108028,F1274,90.19,2024-07-31
S2000361,U106196,F1261,27.16,2024-02-28
S2000362,U102523,F1199,40.72,2024-03-26
S2000363,U109109,F1051,30.73,2024-06-18
S2000364,U106401,F1255,55.5,2024-07-16
S2000365,U106130,F1060,67.16,2024-05-30
S2000366,U108992,F1040,61.46,2024-08-13
S2000367,U109881,F1178,99.52,2024-12-02
S2000368,U109784,F1187,21.98,2024-10-09
S2000369,U107813,F1024,39.76,2024-06-08
S2000370,U109529,F1196,21.08,2024-12-10
S2000371,U109646,F1276,42.11,2024-04-26
S2000372,U106710,F1047,67.21,2024-07-30
S2000373,U100580,F1023,55.98,2024-11-30
S2000374,U105212,F1219,75.95,2024-04-27
S2000375,U106559,F1067,17.6,2024-02-21
S2000376,U101378,F1023,44.72,2024-05-27
S2000377,U102504,F1086,50.08,2024-01-23
S2000378,U106652,F1247,84.58,2024-07-18
S2000379,U105969,F1006,30.31,2024-12-07
S2000380,U100163,F1250,73.28,2024-11-12
S2000381,U108541,F1024,25.85,2024-04-19
S2000382,U104423,F1041,99.55,2024-10-02
S2000383,U109217,F1140,26.8,2024-06-08
S2000384,U102335,F1004,99.48,2024-03-14
S2000385,U100957,F1217,40.67,2024-12-21
S2000386,U101454,F1199,67.59,2024-06-22
S2000387,U101244,F1096,34.97,2024-07-09
S2000388,U106751,F1238,61.35,2024-02-11
S2000389,U108313,F1070,14.18,2024-08-27
S2000390,U101457,F1139,89.27,2024-08-04
S2000391,U103812,F1210,50.34,2024-04-18
S2000392,U109842,F1163,14.4,2024-11-19
S2000393,U104072,F1077,68.65,2024-03-02
S2000394,U108963,F1001,95.05,2024-10-27
S2000395,U106212,F1213,51.95,2024-04-12
S2000396,U101743,F1140,64.11,2024-04-22
S2000397,U108923,F1056,73.24,2024-09-15
S2000398,U104730,F1055,95.13,2024-04-29
S2000399,U101682,F1012,84.99,2024-08-06
S2000400,U104265,F1031,14.15,2024-07-21
S2000401,U105771,F1098,77.84,2024-03-18
S2000402,U104527,F1267,17.91,2024-06-24
S2000403,U109402,F1183,32.7,2024-06-24
S2000404,U105307,F1262,37.61,2024-09-14
S2000405,U105748,F1206,83.94,2024-07-29
S2000406,U106902,F1120,10.78,2024-05-23
S2000407,U109363,F1246,21.34,2024-03-12
S2000408,U109124,F1140,97.01,2024-10-28
S2000409,U100210,F1088,12.78,2024-04-10
S2000410,U109859,F1270,66.43,2024-05-11
S2000411,U101612,F1132,23.37,2024-03-06
S2000412,U105525,F1261,52.53,2024-12-22
S2000413,U100082,F1199,98.61,2024-08-05
S2000414,U106364,F1000,69.63,2024-07-25
S2000415,U103850,F1038,44.63,2024-10-02
S2000416,U105304,F1157,54.22,2024-06-27
S2000417,U100797,F1072,31.33,2024-05-14
S2000418,U104608,F1188,63.98,2024-02-06
S2000419,U105550,F1288,83.81,2024-01-28
S2000420,U108208,F1004,99.0,2024-10-11
S2000421,U100554,F1015,42.61,2024-10-20
S2000422,U109518,F1207,57.22,2024-01-20
S2000423,U104364,F1252,68.06,2024-08-13
S2000424,U103304,F1083,51.11,2024-06-21
S2000425,U107539,F1233,93.97,2024-01-01
S2000426,U105530,F1145,94.91,2024-08-20
S2000427,U109129,F1156,16.81,2024-05-14
S2000428,U105279,F1056,68.88,2024-03-09
S2000429,U104617,F1216,57.09,2024-10-31
S2000430,U104358,F1027,30.67,2024-06-13
S2000431,U106504,F1146,99.14,2024-01-06
S2000432,U105231,F1209,53.78,2024-05-03
S2000433,U103896,F1299,20.16,2024-06-06
S2000434,U103662,F1020,32.54,2024-01-23
S2000435,U102369,F1051,39.86,2024-12-16
S2000436,U109715,F1143,27.31,2024-06-26
S2000437,U104863,F1020,23.76,2024-06-09
S2000438,U106247,F1197,57.83,2024-02-16
S2000439,U109116,F1120,53.81,2024-10-13
S2000440,U101403,F1226,15.33,2024-12-05
S2000441,U102493,F1019,66.89,2024-12-25
S2000442,U109278,F1019,43.75,2024-01-02
S2000443,U108104,F1061,90.82,2024-06-15
S2000444,U109412,F1030,65.55,2024-08-11
S2000445,U101710,F1254,52.72,2024-09-11
S2000446,U104217,F1036,24.44,2024-08-08
S2000447,U105776,F1196,31.75,2024-02-29
S2000448,U105745,F1099,64.67,2024-05-04
S2000449,U102704,F1091,20.14,2024-12-15
S2000450,U108733,F1244,57.34,2024-11-27
S2000451,U106004,F1032,24.54,2024-09-28
S2000452,U102300,F1046,44.97,2024-03-19
S2000453,U105642,F1136,28.2,2024-08-24
S2000454,U103178,F1159,63.95,2024-01-09
S2000455,U102530,F1115,78.31,2024-04-07
S2000456,U103987,F1058,29.95,2024-01-20
S2000457,U102983,F1110,64.79,2024-05-09
S2000458,U106661,F1271,39.29,2024-12-05
S2000459,U101922,F1077,58.78,2024-05-30
S2000460,U101925,F1032,21.19,2024-05-27
S2000461,U106775,F1135,69.04,2024-09-21
S2000462,U106312,F1219,10.46,2024-08-02
S2000463,U103684,F1087,21.88,2024-05-05
S2000464,U105505,F1086,47.07,2024-02-12
S2000465,U101556,F1192,42.58,2024-01-26
S2000466,U107013,F1055,11.54,2024-08-31
S2000467,U101936,F1212,84.64,2024-04-08
S2000468,U105890,F1194,52.45,2024-01-04
S2000469,U100187,F1255,41.36,2024-11-30
S2000470,U100914,F1049,97.41,2024-10-19
S2000471,U105723,F1204,48.77,2024-12-15
S2000472,U106611,F1283,55.11,2024-03-31
S2000473,U102071,F1277,53.26,2024-08-17
S2000474,U109289,F1161,48.52,2024-02-11
S2000475,U102814,F1097,36.8,2024-06-02
S2000476,U107765,F1275,52.47,2024-11-14
S2000477,U109458,F1146,43.76,2024-11-06
S2000478,U103606,F1132,83.78,2024-09-25
S2000479,U101631,F1053,63.74,2024-02-21
S2000480,U103352,F1191,60.15,2024-09-22
S2000481,U104124,F1174,88.56,2024-07-08
S2000482,U109390,F1030,58.53,2024-04-13
S2000483,U109304,F1044,59.65,2024-01-23
S2000484,U109741,F1121,22.02,2024-07-24
S2000485,U103191,F1262,85.01,2024-05-24
S2000486,U101449,F1108,33.4,2024-05-21
S2000487,U102942,F1067,76.04,2024-05-02
S2000488,U107808,F1019,57.22,2024-06-02
S2000489,U109205,F1058,47.97,2024-04-04
S2000490,U101306,F1288,98.29,2024-06-01
S2000491,U102458,F1236,79.51,2024-08-26
S2000492,U102214,F1133,86.53,2024-03-05
S2000493,U100650,F1086,19.96,2024-05-07
S2000494,U105417,F1271,57.06,2024-12-17
S2000495,U103628,F1235,66.36,2024-01-08
S2000496,U106308,F1145,82.77,2024-08-19
S2000497,U102597,F1218,80.44,2024-10-30
S2000498,U106426,F1091,65.59,2024-05-12
S2000499,U105443,F1180,50.39,2024-02-01
S2000500,U107116,F1117,22.22,2024-06-17
S2000501,U107468,F1283,81.61,2024-04-02
S2000502,U101693,F1001,85.14,2024-08-02
S2000503,U101979,F1072,10.64,2024-12-05
S2000504,U108543,F1200,14.22,2024-04-03
S2000505,U101568,F1090,16.15,2024-03-30
S2000506,U107044,F1244,97.32,2024-03-26
S2000507,U102933,F1266,52.77,2024-02-06
S2000508,U107277,F1145,72.34,2024-12-06
S2000509,U107252,F1237,79.25,2024-04-23
S2000510,U107693,F1299,57.72,2024-05-04
S2000511,U106017,F1204,33.77,2024-04-01
S2000512,U108152,F1229,29.53,2024-01-17
S2000513,U101590,F1178,50.94,2024-08-17
S2000514,U104284,F1017,23.87,2024-06-02
S2000515,U106033,F1088,91.77,2024-02-21
S2000516,U100611,F1030,37.18,2024-03-20
S2000517,U105096,F1069,16.27,2024-01-16
S2000518,U103760,F1048,36.93,2024-08-23
S2000519,U108964,F1098,76.68,2024-01-15
S2000520,U108385,F1248,49.36,2024-12-24
S2000521,U109628,F1111,27.38,2024-11-13
S2000522,U108173,F1238,56.82,2024-01-13
S2000523,U109319,F1209,24.45,2024-02-10
S2000524,U100794,F1150,96.63,2024-07-05
S2000525,U105491,F1198,33.84,2024-12-08
S2000526,U109832,F1076,94.46,2024-01-10
S2000527,U107348,F1171,95.73,2024-07-13
S2000528,U103262,F1040,52.92,2024-03-31
S2000529,U101425,F1295,28.09,2024-08-24
S2000530,U108870,F1142,99.47,2024-12-24
S2000531,U107362,F1238,23.54,2024-06-09
S2000532,U106198,F1173,51.82,2024-07-06
S2000533,U106636,F1060,43.54,2024-03-26
S2000534,U100403,F1144,90.98,2024-04-28
S2000535,U109392,F1233,21.18,2024-07-16
S2000536,U108179,F1218,86.35,2024-04-24
S2000537,U109066,F1115,92.46,2024-12-16
S2000538,U106439,F1273,39.85,2024-08-10
S2000539,U103992,F1090,53.16,2024-05-24
S2000540,U101773,F1093,93.54,2024-03-16
S2000541,U105663,F1201,44.09,2024-05-30
S2000542,U106331,F1031,70.63,2024-03-10
S2000543,U104080,F1076,40.87,2024-09-01
S2000544,U104449,F1077,11.96,2024-10-26
S2000545,U107601,F1143,81.9,2024-10-31
S2000546,U108997,F1238,95.58,2024-05-04
S2000547,U106119,F1200,81.31,2024-10-27
S2000548,U107060,F1286,57.34,2024-11-06
S2000549,U100363,F1190,73.19,2024-04-17
S2000550,U102112,F1274,34.46,2024-10-20
S2000551,U100617,F1220,77.13,2024-05-20
S2000552,U105632,F1083,83.01,2024-05-21
S2000553,U105379,F1294,97.2,2024-03-30
S2000554,U107081,F1132,65.36,2024-08-11
S2000555,U108778,F1116,40.0,2024-09-22
S2000556,U104227,F1295,94.36,2024-05-06
S2000557,U100281,F1120,54.84,2024-01-30
S2000558,U100967,F1002,79.85,2024-12-10
S2000559,U105949,F1157,89.06,2024-03-10
S2000560,U107742,F1134,82.49,2024-11-30
S2000561,U105168,F1233,91.02,2024-07-31
S2000562,U101797,F1263,40.25,2024-09-04
S2000563,U106038,F1287,93.16,2024-12-23
S2000564,U104978,F1041,89.74,2024-06-17
S2000565,U106972,F1122,34.1,2024-01-07
S2000566,U104889,F1238,22.45,2024-03-29
S2000567,U108690,F1266,59.62,2024-08-22
S2000568,U107418,F1047,53.42,2024-05-28
S2000569,U105611,F1038,41.68,2024-05-09
S2000570,U106253,F1069,69.2,2024-03-31
S2000571,U102085,F1192,38.05,2024-02-26
S2000572,U105526,F1027,94.42,2024-12-27
S2000573,U102187,F1083,40.5,2024-12-21
S2000574,U104626,F1023,41.97,2024-07-13
S2000575,U105267,F1217,24.76,2024-06-25
S2000576,U106944,F1217,68.42,2024-02-10
S2000577,U103530,F1146,71.18,2024-05-13
S2000578,U100966,F1274,44.33,2024-02-15
S2000579,U109492,F1193,23.28,2024-03-04
